
mode,epsilon,acc
"train",0.0,0.960
"test",0.0,0.841
"train",0.05,0.331
"test",0.05,0.302
"train",0.1,0.226
"test",0.1,0.209
"train",0.15,0.172
"test",0.15,0.156
"train",0.2,0.140
"test",0.2,0.130
